65260	
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05
	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05
	3.348239481272906e-05	1.674119740636453e-05	3.348239481272906e-05	1.674119740636453e-05	3.348142736113057e-05
	6.763698547141807e-05	8.505037872374256e-05	6.763698547141807e-05	8.505037872374256e-05	6.763698547141807e-05
